symbol,weight,date,ttf_id,optimized_at
LVS,0.066468448,9/30/22,257,54:38.9
BALY,0.063481924,9/30/22,257,54:38.9
EVRI,0.063434467,9/30/22,257,54:38.9
GDEN,0.056100123,9/30/22,257,54:38.9
WYNN,0.048530783,9/30/22,257,54:38.9
MGM,0.048081506,9/30/22,257,54:38.9
PENN,0.032658745,9/30/22,257,54:38.9
MLCO,0.030276925,9/30/22,257,54:38.9
IGT,0.023515167,9/30/22,257,54:38.9
RSI,0.016484872,9/30/22,257,54:38.9
CZR,0.012812094,9/30/22,257,54:38.9
DKNG,0.01,9/30/22,257,54:38.9
VMW,0.3,9/30/22,260,54:44.4
SWI,0.259490821,9/30/22,260,54:44.4
NEWR,0.171609422,9/30/22,260,54:44.4
DT,0.163570112,9/30/22,260,54:44.4
DDOG,0.105329645,9/30/22,260,54:44.4
IIPR,0.076765676,9/30/22,263,54:48.2
LAND,0.063531182,9/30/22,263,54:48.2
PLD,0.061542949,9/30/22,263,54:48.2
STAG,0.061476107,9/30/22,263,54:48.2
REXR,0.059215045,9/30/22,263,54:48.2
EGP,0.058365429,9/30/22,263,54:48.2
NSA,0.057487818,9/30/22,263,54:48.2
TRNO,0.056834716,9/30/22,263,54:48.2
DRE,0.054986784,9/30/22,263,54:48.2
ILPT,0.054026317,9/30/22,263,54:48.2
EXR,0.054006213,9/30/22,263,54:48.2
LXP,0.053235646,9/30/22,263,54:48.2
LSI,0.052859727,9/30/22,263,54:48.2
CUBE,0.052203268,9/30/22,263,54:48.2
FR,0.051273239,9/30/22,263,54:48.2
COLD,0.046592653,9/30/22,263,54:48.2
PLYM,0.044891274,9/30/22,263,54:48.2
PSA,0.040705958,9/30/22,263,54:48.2
SPG,0.060549824,9/30/22,266,54:53.5
REG,0.059831267,9/30/22,266,54:53.5
KIM,0.05899554,9/30/22,266,54:53.5
BRX,0.058406134,9/30/22,266,54:53.5
FRT,0.056917568,9/30/22,266,54:53.5
ROIC,0.056761535,9/30/22,266,54:53.5
MAC,0.054777947,9/30/22,266,54:53.5
KRG,0.054713916,9/30/22,266,54:53.5
SITC,0.054368162,9/30/22,266,54:53.5
RPT,0.054293041,9/30/22,266,54:53.5
SKT,0.053839703,9/30/22,266,54:53.5
AKR,0.052315415,9/30/22,266,54:53.5
NTST,0.049481686,9/30/22,266,54:53.5
NNN,0.047895742,9/30/22,266,54:53.5
PECO,0.046463029,9/30/22,266,54:53.5
WSR,0.043205954,9/30/22,266,54:53.5
SRG,0.040242598,9/30/22,266,54:53.5
GTY,0.038481057,9/30/22,266,54:53.5
O,0.034810501,9/30/22,266,54:53.5
ADC,0.023649379,9/30/22,266,54:53.5
PPC,0.231792529,9/30/22,254,54:56.5
LAND,0.212323731,9/30/22,254,54:56.5
BG,0.192294075,9/30/22,254,54:56.5
CALM,0.187893194,9/30/22,254,54:56.5
CVGW,0.175696472,9/30/22,254,54:56.5
PYPL,0.552013864,9/30/22,269,55:01.5
GTLB,0.255452568,9/30/22,269,55:01.5
AFRM,0.192533568,9/30/22,269,55:01.5
NMR,0.18426659,9/30/22,87,55:06.1
FNF,0.141949282,9/30/22,87,55:06.1
GS,0.124537042,9/30/22,87,55:06.1
MS,0.113976874,9/30/22,87,55:06.1
SCHW,0.105079998,9/30/22,87,55:06.1
IBKR,0.104939265,9/30/22,87,55:06.1
LPLA,0.093973616,9/30/22,87,55:06.1
XP,0.074643212,9/30/22,87,55:06.1
HOOD,0.056634122,9/30/22,87,55:06.1
CMC,0.192100795,9/30/22,162,55:13.1
